2026-09-24 23:37:58 | INFO     | validate_data | Parsed 'ship_date' as datetime64. Coerced nulls: 0
2026-09-24 23:37:58 | INFO     | validate_data | Null value audit: no nulls detected in any column.
2026-09-24 23:37:58 | INFO     | validate_data | Cast to float64: ['sales', 'profit', 'discount']
2026-09-24 23:37:58 | INFO     | validate_data | Cast to int64: ['quantity']
2026-09-24 23:37:58 | INFO     | validate_data | Rows dropped due to null in critical columns ['order_id', 'customer_id', 'sales']: 0 (remaining: 9994)
2026-09-24 23:37:58 | INFO     | push_to_sqlite | Connecting to SQLite database: V:\Coding\Projects\E-Commerce Analytics Dashboard\data\processed\retaillens.db
2026-09-24 23:37:58 | INFO     | push_to_sqlite | Writing 9994 rows to table 'superstore_sales' (chunksize=500, if_exists='replace') …
2026-09-24 23:37:58 | INFO     | push_to_sqlite | Successfully wrote 9994 rows to 'superstore_sales' in database: V:\Coding\Projects\E-Commerce Analytics Dashboard\data\processed\retaillens.db
2026-09-24 23:37:58 | INFO     | push_to_sqlite | SQLAlchemy engine disposed cleanly.
2026-09-24 23:37:58 | INFO     | main | ============================================================
2026-09-24 23:37:58 | INFO     | main |   RetailLens ETL Pipeline – COMPLETE
2026-09-24 23:37:58 | INFO     | main |   Final row count persisted: 9994
2026-09-24 23:37:58 | INFO     | main | ============================================================
